"|","|__id","|__Rates__|","|__Rates__|__startHour","|__Rates__|__endHour","|__Rates__|__pricePerHalfHour__001","|__Rates__|__pricePerHalfHour__002","|__Rates__|__pricePerHalfHour__003","|__Rates__|__pricePerHalfHour__004","|__Rates__|__pricePerHalfHour__005","|__Rates__|__pricePerHalfHour__006","|__Rates__|__pricePerHalfHour__007","|__Rates__|__pricePerHalfHour__008","|__Rates__|__pricePerHalfHour__009","|__GPS__Lat","|__GPS__Long"
"","","Sunday","7.00","6.59","0.00","1.00","","","","","","","","",""
"Nex Mall","","Weekday","0.00","23.59","1.30","0.65","","","","","","","","1.3507958","103.8722529"
"","","Saturday","0.00","23.59","1.40","0.70","","","","","","","","",""
"","","Sunday","7.00","6.59","1.40","0.70","","","","","","","","",""
"Northpoint Shopping Centre","","Weekday","0.00","23.59","0.60","0.60","0.80","","","","","","","1.4295657","103.8361296"
"","","Saturday","0.00","23.59","0.60","0.60","0.80","","","","","","","",""
"","","Sunday","0.00","23.59","0.60","0.60","0.80","","","","","","","",""
"Parliament House","","Weekday","8.00","18.00","1.13","","","","","","","","","1.2897262","103.8504533"
"","","","18.00","8.00","2.06","0.00","","","","","","","","",""
"","","Saturday","8.00","18.00","1.13","","","","","","","","","",""
"","","","18.00","8.00","2.06","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","2.06","0.00","","","","","","","","",""
"Ramada Hotel","","Weekday","6.00","18.00","0.80","","","","","","","","","1.3270456","103.8465073"
"","","","18.00","5.59","2.20","0.00","","","","","","","","",""
"","","Saturday","6.00","18.00","0.80","","","","","","","","","",""
"","","","18.00","5.59","2.20","0.00","","","","","","","","",""
"","","Sunday","6.00","18.00","0.80","","","","","","","","","",""
"","","","18.00","5.59","2.20","0.00","","","","","","","","",""
"Rivervale Mall","","Weekday","0.00","23.59","0.64","","","","","","","","","1.3922849","103.9044292"
"","","Saturday","0.00","23.59","0.64","","","","","","","","","",""
"","","Sunday","0.00","23.59","0.64","","","","","","","","","",""
"Sembawang Shopping Centre","","Weekday","0.00","23.59","0.60","0.64","","","","","","","","1.4418577","103.825096"
"","","","0.00","23.59","0.60","0.60","","","","","","","","",""
"","","Saturday","0.00","23.59","0.60","0.64","","","","","","","","",""
"","","","0.00","23.59","0.60","0.60","","","","","","","","",""
"","","Sunday","0.00","23.59","0.60","0.64","","","","","","","","",""
"","","","0.00","23.59","0.60","0.60","","","","","","","","",""
"Shaw Plaza","","Weekday","8.00","17.00","0.52","0.53","","","","","","","","1.3249047","103.8509656"
"","","","17.00","8.00","1.55","","","","","","","","","",""
"","","Saturday","8.00","17.00","0.52","0.53","","","","","","","","",""
"","","","17.00","8.00","1.55","","","","","","","","","",""
"","","Sunday","8.00","17.00","0.52","0.53","","","","","","","","",""
"","","","17.00","8.00","1.55","","","","","","","","","",""
"Shrewsbury Road Off-Street","","Weekday","7.00","6.59","0.50","","","","","","","","","1.3183851","103.8490913"
"","","Saturday","7.00","6.59","0.50","","","","","","","","","",""
"","","Sunday","7.00","6.59","0.50","","","","","","","","","",""
"Square 2","","Weekday","7.00","18.00","0.80","","","","","","","","","1.3208476","103.8441535"
"","","","18.00","7.00","2.20","0.00","","","","","","","","",""
"","","Saturday","7.00","18.00","0.80","","","","","","","","","",""
"","","","18.00","7.00","2.20","0.00","","","","","","","","",""
"","","Sunday","7.00","6.59","0.54","1.10","","","","","","","","",""
"","","","18.00","6.59","2.20","0.00","","","","","","","","",""
"Sun Plaza","","Weekday","7.00","17.00","0.60","0.60","0.65","","","","","","","1.4480315","103.8189521"
"","","","17.00","23.00","2.20","0.00","","","","","","","","",""
"","","","23.00","7.00","3.30","0.00","","","","","","","","",""
"","","Saturday","7.00","17.00","0.60","0.60","0.65","","","","","","","",""
"","","","17.00","23.00","2.20","0.00","","","","","","","","",""
"","","","23.00","7.00","3.30","0.00","","","","","","","","",""
"","","Sunday","7.00","17.00","0.60","0.60","0.65","","","","","","","",""
"","","","17.00","23.00","2.20","0.00","","","","","","","","",""
"","","","23.00","7.00","3.30","0.00","","","","","","","","",""
"The Verge","","Weekday","0.00","7.00","0.65","","","","","","","","","1.3045517","103.8526208"
"","","","7.00","17.00","0.80","","","","","","","","","",""
"","","","17.00","23.59","2.50","0.00","","","","","","","","",""
"","","Saturday","0.00","7.00","0.65","","","","","","","","","",""
"","","","7.00","17.00","0.80","","","","","","","","","",""
"","","","17.00","23.59","2.50","0.00","","","","","","","","",""
"","","Sunday","7.00","12.00","2.50","0.00","","","","","","","","",""
"","","","12.00","23.59","1.00","","","","","","","","","",""
"Thomson Plaza","","Weekday","7.00","23.59","0.50","0.50","0.60","","","","","","","1.3547","103.83103"
"","","Saturday","7.00","11.00","0.60","0.70","","","","","","","","",""
"","","","11.00","16.00","0.60","1.00","","","","","","","","",""
"","","","16.00","23.59","0.60","0.70","","","","","","","","",""
"","","Sunday","7.00","11.00","0.60","0.70","","","","","","","","",""
"","","","11.00","16.00","0.60","1.00","","","","","","","","",""
"","","","16.00","23.59","0.60","0.70","","","","","","","","",""
"Toa Payoh HDB Hub","","Weekday","7.00","18.00","0.50","","","","","","","","","1.3322562","103.8485391"
"","","","18.00","6.59","1.00","","","","","","","","","",""
"","","Saturday","7.00","18.00","0.50","","","","","","","","","",""
"","","","18.00","6.59","1.00","0.00","","","","","","","","",""
"","","Sunday","7.00","6.59","1.00","0.00","","","","","","","","",""
"United Square Shopping Mall","","Weekday","7.00","17.59","1.10","","","","","","","","","1.3171694","103.8435788"
"","","","18.00","7.00","2.00","0.00","","","","","","","","",""
"","","Saturday","7.00","17.59","1.10","","","","","","","","","",""
"","","","18.00","7.00","2.00","0.00","","","","","","","","",""
"","","Sunday","7.00","17.59","1.10","","","","","","","","","",""
"","","","18.00","7.00","2.00","0.00","","","","","","","","",""
"Velocity @ Novena Square","","Weekday","6.00","17.59","0.80","","","","","","","","","1.3196341","103.8434302"
"","","","18.00","5.59","2.20","0.00","","","","","","","","",""
"","","Saturday","6.00","17.59","0.80","","","","","","","","","",""
"","","","18.00","5.59","2.20","0.00","","","","","","","","",""
"","","Sunday","6.00","17.59","0.80","","","","","","","","","",""
