"|","|__id","|__Rates__|","|__Rates__|__startHour","|__Rates__|__endHour","|__Rates__|__pricePerHalfHour__001","|__Rates__|__pricePerHalfHour__002","|__Rates__|__pricePerHalfHour__003","|__Rates__|__pricePerHalfHour__004","|__Rates__|__pricePerHalfHour__005","|__Rates__|__pricePerHalfHour__006","|__Rates__|__pricePerHalfHour__007","|__Rates__|__pricePerHalfHour__008","|__Rates__|__pricePerHalfHour__009","|__GPS__Lat","|__GPS__Long"
"","","Saturday","0.00","23.59","4.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","4.00","0.00","","","","","","","","",""
"Four Seasons Hotel","","Weekday","6.00","17.00","3.00","","","","","","","","","1.305122","103.828806"
"","","","17.00","5.59","6.00","","","","","","","","","",""
"","","Saturday","6.00","17.00","3.00","","","","","","","","","",""
"","","","17.00","5.59","6.00","","","","","","","","","",""
"","","Sunday","6.00","17.00","3.00","","","","","","","","","",""
"","","","17.00","5.59","6.00","","","","","","","","","",""
"Furama City Centre Singapore","","Weekday","5.00","17.00","1.40","1.40","1.50","","","","","","","1.2863993","103.8447538"
"","","","17.00","5.59","3.00","","","","","","","","","",""
"","","Saturday","5.00","17.00","1.40","1.40","1.50","","","","","","","",""
"","","","17.00","5.59","3.00","","","","","","","","","",""
"","","Sunday","6.00","17.00","3.00","","","","","","","","","",""
"","","","17.00","5.59","3.00","","","","","","","","","",""
"Furama Riverfront Singapore","","Weekday","7.00","17.00","1.00","","","","","","","","","1.2877268","103.8361551"
"","","","17.00","6.59","6.00","","","","","","","","","",""
"","","Saturday","7.00","17.00","1.00","","","","","","","","","",""
"","","","17.00","6.59","6.00","","","","","","","","","",""
"","","Sunday","7.00","17.00","1.00","","","","","","","","","",""
"","","","17.00","6.59","6.00","","","","","","","","","",""
"Gallery Hotel","","Weekday","12.00","14.00","1.50","1.50","1.00","","","","","","","1.3020052","103.8359339"
"","","","14.00","18.00","1.00","1.00","0.50","","","","","","","",""
"","","","18.00","23.59","1.50","1.50","0.50","","","","","","","",""
"","","","0.00","11.59","1.50","1.50","0.50","","","","","","","",""
"","","Saturday","6.00","23.59","1.50","0.50","","","","","","","","",""
"","","","0.00","1.59","1.50","1.50","0.50","","","","","","","",""
"","","Sunday","2.00","6.00","1.00","1.00","0.50","","","","","","","",""
"Goodwood Park Hotel","","Weekday","8.00","18.00","2.00","","","","","","","","","1.3084529","103.8345499"
"","","","18.00","7.59","5.00","","","","","","","","","",""
"","","Saturday","8.00","18.00","2.00","","","","","","","","","",""
"","","","18.00","7.59","5.00","","","","","","","","","",""
"","","Sunday","8.00","18.00","5.00","","","","","","","","","",""
"","","","18.00","7.59","5.00","","","","","","","","","",""
"Grand Copthorne Waterfront Hotel","","Weekday","7.00","17.00","1.90","1.90","1.07","","","","","","","1.2902491","103.8351346"
"","","","17.00","6.59","4.28","","","","","","","","","",""
"","","Saturday","7.00","17.00","1.90","1.90","1.07","","","","","","","",""
"","","","17.00","6.59","4.28","","","","","","","","","",""
"","","Sunday","7.00","17.00","4.28","","","","","","","","","",""
"","","","17.00","6.59","4.28","","","","","","","","","",""
"Grand Hyatt Hotel","","Weekday","4.00","16.59","1.60","1.60","1.07","","","","","","","1.3064961","103.8330143"
"","","","17.00","3.59","5.35","","","","","","","","","",""
"","","Saturday","4.00","16.59","1.60","1.60","1.07","","","","","","","",""
"","","","17.00","3.59","5.35","","","","","","","","","",""
"","","Sunday","4.00","16.59","5.35","","","","","","","","","",""
"","","","17.00","3.59","5.35","","","","","","","","","",""
"Grand Mercure Roxy Hotel","","Weekday","0.00","23.59","1.60","","","","","","","","","1.303397","103.9046199"
"","","Saturday","0.00","23.59","1.60","","","","","","","","","",""
"","","Sunday","0.00","23.59","1.60","","","","","","","","","",""
"Grand Pacific Hotel (Formerly Allson Hotel)","","Weekday","7.00","16.59","1.32","","","","","","","","","1.2974019","103.8525602"
"","","","17.00","6.59","3.57","0.00","","","","","","","","",""
"","","Saturday","7.00","16.59","1.32","","","","","","","","","",""
"","","","17.00","6.59","3.57","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.57","0.00","","","","","","","","",""
"Grand Park City Hall Hotel","","Weekday","7.00","17.00","1.64","1","64","1.55","","","","","","1.2925284","103.8500923"
"","","","17.00","23.59","5.35","0.00","","","","","","","","",""
"","","Saturday","7.00","17.00","1.64","1","64","1.55","","","","","","",""
"","","","17.00","23.59","5.35","0.00","","","","","","","","",""
"","","Sunday","7.00","17.00","1.64","1","64","1.55","","","","","","",""
"","","","17.00","23.59","5.35","0.00","","","","","","","","",""
"Grand Park Orchard","","Weekday","8.00","17.00","1.75","1.75","1.50","","","","","","","1.3030672","103.8360734"
"","","","17.00","7.59","5.00","0.00","","","","","","","","",""
"","","Saturday","8.00","17.00","1.75","1.75","1.50","","","","","","","",""
"","","","17.00","7.59","5.00","0.00","","","","","","","","",""
"","","Sunday","8.00","17.00","1.75","1.75","1.50","","","","","","","",""
"","","","17.00","7.59","5.00","0.00","","","","","","","","",""
"Hilton Hotel","","Weekday","8.00","18.00","3.50","","","","","","","","","1.305891","103.82942"
"","","","18.00","7.59","7.00","0.00","","","","","","","","",""
"","","Saturday","8.00","18.00","3.50","","","","","","","","","",""
"","","","18.00","7.59","7.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","7.00","0.00","","","","","","","","",""
"Holiday Inn Atrium","51","Weekday","7.00","17.00","0.90","","","","","","","","","1.30228007106279","103.841129960081"
"","","","17.00","6.59","3.60","0.00","","","","","","","","",""
"","","Saturday","7.00","17.00","0.90","","","","","","","","","",""
"","","","17.00","6.59","3.60","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.60","0.00","","","","","","","","",""
"Holiday Inn Express Singapore","","Weekday","0.00","23.59","3.00","","","","","","","","","1.289123","103.842014"
"","","Saturday","0.00","23.59","3.00","","","","","","","","","",""
"","","Sunday","0.00","23.59","3.00","","","","","","","","","",""
"Holiday Inn Singapore Orchard City Centre","","Weekday","0.00","23.59","1.50","","","","","","","","","1.3022488","103.8410623"
"","","Saturday","0.00","23.59","1.50","","","","","","","","","",""
"","","Sunday","0.00","23.59","1.50","","","","","","","","","",""
"Inter-continental Hotel","","Weekday","8.00","17.00","0.53","0.53","1.11","","","","","","","1.2983091","103.855048"
"","","","17.00","7.59","2.50","0.00","","","","","","","","",""
"","","Saturday","0.00","23.59","0.60","0.60","0.75","","","","","","","",""
"","","Sunday","0.00","23.59","0.60","0.60","0.75","","","","","","","",""
"klapsons, The Boutique Hotel","","Weekday","6.30","18.30","0.50","0.50","1.50","","","","","","","1.2739174","103.8423017"
"","","","18.30","6.29","4.00","0.00","","","","","","","","",""
"","","Saturday","6.30","14.00","0.50","0.50","1.50","","","","","","","",""
"","","","14.00","6.29","4.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","4.00","","","","","","","","","",""
"Landmark Village Hotel (Formally Golden Landmark Hotel)","","Weekday","8.00","17.00","0.80","0.80","0.54","","","","","","","1.3022727","103.8578345"
"","","","17.00","7.59","1.07","0.00","","","","","","","","",""
"","","Saturday","8.00","17.00","0.80","0.80","0.54","","","","","","","",""
"","","","17.00","7.59","1.07","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","2.14","0.00","","","","","","","","",""
"M Hotel","","Weekday","7.00","18.00","1.50","","","","","","","","","1.273767","103.8450399"
"","","","18.00","6.59","3.00","0.00","","","","","","","","",""
"","","Saturday","7.00","13.00","1.50","","","","","","","","","",""
"","","","13.00","6.59","3.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.00","0.00","","","","","","","","",""
"Mandarin Orchard Singapore","","Weekday","7.00","18.00","1.75","1.75","1.20","","","","","","","1.3020052","103.8359339"
"","","","18.00","6.59","6.00","0.00","","","","","","","","",""
"","","Saturday","7.00","18.00","1.75","1.75","1.20","","","","","","","",""
"","","","18.00","6.59","6.00","0.00","","","","","","","","",""
"","","Sunday","7.00","18.00","1.75","1.75","1.20","","","","","","","",""
"","","","18.00","6.59","6.00","0.00","","","","","","","","",""
"Mandarin Oriental Hotel","","Weekday","7.00","17.00","0.55","0","55","1.10","","","","","","1.2906235","103.8582758"
"","","","17.00","1.59","2.20","0.00","","","","","","","","",""
"","","","2.00","6.59","1.10","","","","","","","","","",""
"","","Saturday","7.00","2.00","0.60","0","60","1.20","","","","","","",""
"","","","2.00","6.59","1.10","","","","","","","","","",""
"","","Sunday","7.00","2.00","0.60","0","60","1.20","","","","","","",""
"","","","2.00","6.59","1.10","","","","","","","","","",""
"Marina Bay Sands","29","Weekday","7.00","19.00","3.00","3.00","1.00","","","","","","","1.28225028515239","103.858300275795"
"","","","19.00","6.59","6.00","0.00","","","","","","","","",""
"","","Saturday","7.00","19.00","3.00","3.00","1.00","","","","","","","",""
"","","","19.00","6.59","6.00","0.00","","","","","","","","",""
"","","Sunday","7.00","19.00","3.00","3.00","1.00","","","","","","","",""
"","","","19.00","6.59","6.00","0.00","","","","","","","","",""
"Marina Mandarin Hotel","12","Weekday","7.00","17.00","1.10","","","","","","","","","1.30216","103.83601"
"","","","17.00","2.00","2.20","0.00","","","","","","","","",""
"","","","2.00","6.59","1.10","","","","","","","","","",""
"","","Saturday","7.00","14.00","1.20","1.20","1.20","1.20","0.60","0.60","0.60","0.60","1.40","",""
"","","","14.00","6.59","1.10","","","","","","","","","",""
"","","Sunday","7.00","14.00","1.20","1.20","1.20","1.20","0.60","0.60","0.60","0.60","1.40","",""
"","","","14.00","6.59","1.10","","","","","","","","","",""
"Novotel Clarke Quay","","Weekday","7.00","17.00","0.53","","","","","","","","","1.2915233","103.8449891"
"","","","17.00","6.59","3.21","0.00","","","","","","","","",""
"","","Saturday","7.00","13.00","0.53","","","","","","","","","",""
"","","","13.00","6.59","3.21","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.21","0.00","","","","","","","","",""
"One Fullerton","","Weekday","7.00","18.00","2.50","","","","","","","","","1.28573","103.8539282"
"","","","18.00","6.59","5.00","0.00","","","","","","","","",""
"","","Saturday","0.00","23.59","5.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","5.00","0.00","","","","","","","","",""
"Orchard Grand Court Hotel","","Weekday","7.00","17.00","1.25","","","","","","","","","1.297592","103.838707"
"","","","17.00","6.59","3.00","0.00","","","","","","","","",""
"","","Saturday","7.00","17.00","1.25","","","","","","","","","",""
"","","","17.00","6.59","3.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.00","0.00","","","","","","","","",""
"Orchard Hotel Shopping Arcade","","Weekday","7.00","18.00","2.50","2.50","1.50","","","","","","","1.3074912","103.828781"
"","","","18.00","6.59","5.50","0.00","","","","","","","","",""
"","","Saturday","7.00","18.00","2.50","2.50","1.50","","","","","","","",""
"","","","18.00","6.59","5.50","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","5.50","0.00","","","","","","","","",""
"Orchard Parade Hotel","","Weekday","7.00","17.00","2.00","2.00","1.50","","","","","","","",""
"","","","17.00","6.59","4.00","0.00","","","","","","","","",""
"","","Saturday","7.00","17.00","2.00","2.00","1.50","","","","","","","",""
"","","","17.00","6.59","4.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","4.00","0.00","","","","","","","","",""
"Pan Pacific Hotel","","Weekday","7.00","17.00","1.10","","","","","","","","","",""
"","","","17.00","2.00","2.20","0.00","","","","","","","","",""
"","","","2.00","6.59","1.10","","","","","","","","","",""
"","","Saturday","7.00","2.00","1.20","1.20","1.20","1.20","0.60","0.60","0.60","0.60","0.70","",""
"","","","2.00","6.59","1.10","","","","","","","","","",""
"","","Sunday","7.00","2.00","1.20","1.20","1.20","1.20","0.60","0.60","0.60","0.60","0.70","",""
"","","","2.00","6.59","1.10","","","","","","","","","",""
"Pan Pacific Orchard","","Weekday","7.00","17.00","2.00","2.00","1.50","","","","","","","",""
"","","","17.00","6.59","4.00","0.00","","","","","","","","",""
"","","Saturday","7.00","17.00","2.00","2.00","1.50","","","","","","","",""
"","","","17.00","6.59","4.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","4.00","0.00","","","","","","","","",""
"PARKROYAL on Beach Road","","Weekday","7.00","17.00","1.25","1.25","1.50","","","","","","","",""
"","","","17.00","6.59","2.50","0.00","","","","","","","","",""
"","","Saturday","7.00","17.00","1.25","1.25","1.50","","","","","","","",""
"","","","17.00","6.59","2.50","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","2.50","0.00","","","","","","","","",""
"Peninsula Excelsior Hotel","","Weekday","8.00","17.00","1.30","1.30","1.50","","","","","","","",""
"","","","17.00","7.59","4.00","0.00","","","","","","","","",""
"","","Saturday","8.00","17.00","1.30","1.30","1.50","","","","","","","",""
"","","","17.00","7.59","4.00","0.00","","","","","","","","",""
"Raffles Hotel","","Weekday","0.00","18.00","3.00","1.50","","","","","","","","",""
"","","","18.00","23.59","6.00","0.00","","","","","","","","",""
"","","Saturday","0.00","18.00","3.00","1.50","","","","","","","","",""
"","","","18.00","23.59","6.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","6.00","0.00","","","","","","","","",""
"Regent Hotel","","Weekday","7.00","18.00","2.50","","","","","","","","","",""
"","","","18.00","6.59","6.00","0.00","","","","","","","","",""
"","","Saturday","7.00","18.00","2.50","","","","","","","","","",""
"","","","18.00","6.59","6.00","0.00","","","","","","","","",""
"","","Sunday","7.00","18.00","2.50","","","","","","","","","",""
"","","","18.00","6.59","6.00","0.00","","","","","","","","",""
"Rendezvous Hotel","","Weekday","0.00","23.59","1.70","1.70","1.70","1.70","0.80","","","","","",""
"","","Saturday","0.00","23.59","1.70","1.70","1.70","1.70","0.80","","","","","",""
"","","Sunday","0.00","23.59","1.70","1.70","1.70","1.70","0.80","","","","","",""
"Royal Plaza On Scotts","","Weekday","8.00","18.00","2.00","2.00","1.50","","","","","","","",""
"","","","18.00","7.59","5.50","0.00","","","","","","","","",""
"","","Saturday","8.00","18.00","2.00","2.00","1.50","","","","","","","",""
"","","","18.00","7.59","5.50","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","5.50","0.00","","","","","","","","",""
"Shangri-la Hotel","","Weekday","7.00","17.00","3.00","3.00","2.00","","","","","","","",""
"","","","17.00","6.59","8.00","0.00","","","","","","","","",""
"","","Saturday","7.00","17.00","3.00","3.00","2.00","","","","","","","",""
"","","","17.00","6.59","8.00","0.00","","","","","","","","",""
"","","Sunday","7.00","17.00","3.00","3.00","2.00","","","","","","","",""
"","","","17.00","6.59","8.00","0.00","","","","","","","","",""
"Sheraton Towers Hotel","","Weekday","7.00","18.00","2.00","","","","","","","","","",""
"","","","18.00","6.59","6.00","0.00","","","","","","","","",""
"","","Saturday","7.00","18.00","2.00","","","","","","","","","",""
"","","","18.00","6.59","6.00","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","6.00","0.00","","","","","","","","",""
"Singapore Marriott Hotel","","Weekday","0.00","23.59","1.50","","","","","","","","","",""
"","","Saturday","0.00","23.59","1.50","","","","","","","","","",""
"","","Sunday","0.00","23.59","1.50","","","","","","","","","",""
"Swissotel Merchant Court Hotel","","Weekday","0.00","23.59","2.25","2.25","1.50","","","","","","","",""
"","","Saturday","0.00","23.59","2.25","2.25","1.50","","","","","","","",""
"","","Sunday","0.00","23.59","2.25","2.25","1.50","","","","","","","",""
"Swissotel Stamford Hotel","","Weekday","8.00","17.00","1.00","","","","","","","","","",""
"","","","17.00","7.59","2.50","","","","","","","","","",""
"","","Saturday","0.00","23.59","1.00","1.00","1.00","1.00","0.60","","","","","",""
"","","Sunday","0.00","23.59","1.00","1.00","1.00","1.00","0.60","","","","","",""
"The Ritz Carlton, Millenia Singapore","","Weekday","7.00","18.00","1.80","1.80","1.10","","","","","","","",""
"","","","18.00","7.59","2.20","0.00","","","","","","","","",""
"","","Saturday","0.00","23.59","1.10","1.10","1.10","1.10","0.55","","","","","",""
"","","Sunday","0.00","23.59","1.10","1.10","1.10","1.10","0.55","","","","","",""
"Traders Hotel","","Weekday","6.00","17.00","1.20","","","","","","","","","",""
"","","","17.00","5.59","3.50","0.00","","","","","","","","",""
"","","Saturday","6.00","17.00","1.20","","","","","","","","","",""
"","","","17.00","5.59","3.50","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.50","0.00","","","","","","","","",""
"York Hotel","","Weekday","8.00","18.00","2.00","","","","","","","","","",""
"","","","18.00","7.59","5.00","0.00","","","","","","","","",""
"","","Saturday","8.00","18.00","2.00","","","","","","","","","",""
"","","","18.00","7.59","5.00","0.00","","","","","","","","",""
"","","Sunday","7.00","23.59","5.00","0.00","","","","","","","","",""
"313@Somerset","24","Weekday","0.00","18.00","1.00","","","","","","","","","1.30084","103.83872"
"","","","18.00","23.59","2.25","2.25","1.50","","","","","","","",""
"","","Saturday","0.00","18.00","1.00","","","","","","","","","",""
"","","","18.00","23.59","2.25","2.25","1.50","","","","","","","",""
"","","Sunday","0.00","23.59","2.25","2.25","1.50","","","","","","","",""
"Angullia Park Off-Street","","Weekday","0.00","23.59","1.00","","","","","","","","","",""
"","","Saturday","7.00","1700","1.00","","","","","","","","","",""
"","","","17.00","6.59","0.50","","","","","","","","","",""
"","","Sunday","0.00","23.59","0.50","","","","","","","","","",""
"Atrium @ Orchard","","Weekday","0.00","18.00","0.53","0.53","0.64","","","","","","","",""
"","","","18.00","23.59","2.14","0.00","","","","","","","","",""
"","","Saturday","3.00","18.00","1.07","1.07","1.07","1.07","0.64","","","","","",""
"","","","18.00","23.59","2.14","0.00","","","","","","","","",""
"","","Sunday","3.00","18.00","1.07","1.07","1.07","1.07","0.64","","","","","",""
"","","","18.00","23.59","2.14","0.00","","","","","","","","",""
"Cathay Cineleisure Orchard","","Weekday","7.00","18.00","1.20","1.20","1.40","","","","","","","",""
"","","","18.00","6.59","2.25","2.25","2.25","2.25","2.25","2.25","1.60","","","",""
"","","Saturday","7.00","18.00","1.20","1.20","1.40","","","","","","","",""
"","","","18.00","6.59","2.25","2.25","2.25","2.25","2.25","2.25","1.60","","","",""
"","","Sunday","7.00","18.00","1.20","1.20","1.40","","","","","","","",""
"","","","18.00","6.59","2.25","2.25","2.25","2.25","2.25","2.25","1.60","","","",""
"ComCentre (Exeter Rd)","","Weekday","7.00","18.00","1.50","","","","","","","","","",""
"","","","18.00","6.59","3.50","0.00","","","","","","","","",""
"","","Saturday","7.00","13.00","1.50","","","","","","","","","",""
"","","","13.00","22.00","1.50","1.50","1.50","1.50","1.20","","","","","",""
"","","Sunday","7.00","13.00","1.50","","","","","","","","","",""
"","","","13.00","22.00","1.50","1.50","1.50","1.50","1.20","","","","","",""
"Delfi Orchard","","Weekday","8.00","17.00","1.50","1.50","1.93","","","","","","","",""
"","","","17.00","23.00","4.07","0.00","","","","","","","","",""
"","","Saturday","8.00","17.00","1.50","1.50","1.93","","","","","","","",""
"","","","17.00","23.00","4.07","0.00","","","","","","","","",""
"","","Sunday","0.00","23.00","4.07","0.00","","","","","","","","",""
"Far East Plaza","20","Weekday","8.00","17.00","1.07","","","","","","","","","1.3071","103.83359"
"","","","8.00","17.00","3.53","0.00","","","","","","","","",""
"","","Saturday","8.00","17.00","1.07","","","","","","","","","",""
"","","","8.00","17.00","3.53","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.53","0.00","","","","","","","","",""
"Far East Shopping Centre","","Weekday","8.00","17.00","1.28","","","","","","","","","",""
"","","","17.00","7.59","3.75","0.00","","","","","","","","",""
"","","Saturday","8.00","17.00","1.28","","","","","","","","","",""
"","","","17.00","7.59","3.75","0.00","","","","","","","","",""
"","","Sunday","0.00","23.59","3.75","","","","","","","","","",""
"Forum The Shopping Mall","","Weekday","6.00","17.00","1.20","","","","","","","","","",""
"","","","17.00","5.59","3.20","","","","","","","","","",""
"","","Saturday","6.00","17.00","1.30","1.30","1.40","","","","","","","",""
"","","","17.00","5.59","3.20","","","","","","","","","",""
"","","Sunday","0.00","23.59","3.20","","","","","","","","","",""
"Grand Hyatt Singapore","","Weekday","4.00","17.00","1.70","1.70","1.07","","","","","","","",""
"","","","17.00","3.59","5.35","","","","","","","","","",""
"","","Saturday","4.00","17.00","1.70","1.70","1.07","","","","","","","",""
"","","","17.00","3.59","5.35","","","","","","","","","",""
"","","Sunday","0.00","23.59","5.35","","","","","","","","","",""
"Grange Road Off-Street","","Weekday","0.00","23.59","1.00","","","","","","","","","",""
"","","Saturday","7.00","17.00","1.00","","","","","","","","","",""
"","","","17.00","6.59","0.50","","","","","","","","","",""
"","","Sunday","7.00","17.00","1.00","","","","","","","","","",""
"","","","17.00","6.59","0.50","","","","","","","","","",""
"ION Orchard","23","Weekday","8.00","17.00","1.33","1.33","1.28","","","","","","","1.30403","103.83206"
"","","","17.00","23.59","3.00","0.00","","","","","","","","",""
"","","","0.00","7.59","0.53","","","","","","","","","",""
"","","Saturday","8.00","17.00","1.28","1.28","1.88","","","","","","","",""
"","","","17.00","23.59","3.74","0.00","","","","","","","","",""
"","","","0.00","7.59","0.53","","","","","","","","","",""
"","","Sunday","8.00","17.00","1.28","1.28","1.88","","","","","","","",""
"","","","17.00","23.59","3.74","0.00","","","","","","","","",""
"","","","0.00","7.59","0.53","","","","","","","","","",""
"Liat Towers","","Weekday","7.00","18.00","1.25","1.25","1.30","","","","","","","",""
"","","","18.00","6.59","3.50","0.00","","","","","","","","",""
"","","Saturday","7.00","18.00","1.25","1.25","1.30","","","","","","","",""
"","","","18.00","6.59","3.50","0.00","","","","","","","","",""
"","","Sunday","7.00","18.00","1.25","1.25","1.30","","","","","","","",""
"","","","18.00","6.59","3.50","0.00","","","","","","","","",""
"Lucky Plaza","","Weekday","7.00","17.00","0.96","0.96","1.28","","","","","","","",""
"","","","17.00","6.59","3.38","0.00","","","","","","","","",""
"","","Saturday","7.00","17.00","0.96","0.96","1.28","","","","","","","",""
"","","","17.00","6.59","3.38","0.00","","","","","","","","",""
"","","Sunday","7.00","22.00","0.96","0.96","1.28","","","","","","","",""
"","","","22.00","6.59","3.38","0.00","","","","","","","","",""
"Mandarin Gallery","","Weekday","6.00","18.00","1.75","","","","","","","","","",""
"","","Saturday","7.00","6.59","","","","","","","","","","",""
"","","Sunday","7.00","6.59","","","","","","","","","","",""
"Meritus Mandarin Singapore","","Weekday","6.00","18.00","1.75","1.75","1.30","","","","","","","",""
"","","","18.00","5.59","6.00","0.00","","","","","","","","",""
"","","Saturday","6.00","18.00","1.75","1.75","1.30","","","","","","","",""
"","","","18.00","5.59","6.00","0.00","","","","","","","","",""
"","","Sunday","6.00","18.00","1.75","1.75","1.30","","","","","","","",""
"","","","18.00","5.59","6.00","0.00","","","","","","","","",""
"Ngee Ann City","13","Weekday","0.00","17.00","1.28","","","","","","","","","1.30236","103.8349"
"","","","17.00","19.00","1.82","","","","","","","","","",""
"","","","19.00","23.59","4.28","","","","","","","","","",""
"","","Saturday","0.00","17.00","1.28","1.28","1.61","","","","","","","",""
"","","","17.00","19.00","1.82","1.82","2.14","","","","","","","",""
"","","","19.00","23.59","4.28","","","","","","","","","",""
"","","Sunday","0.00","17.00","1.28","1.28","1.61","","","","","","","",""
"","","","17.00","19.00","1.82","1.82","2.14","","","","","","","",""
"","","","19.00","23.59","4.28","","","","","","","","","",""
"OG Orchard Point","7","Weekday","7.00","23.00","1.00","1.00","1.50","","","","","","","1.30135","103.84061"
"","","","23.00","6.59","2.00","","","","","","","","","",""
"","","Saturday","7.00","23.00","1.00","1.00","1.50","","","","","","","",""
"","","","23.00","6.59","2.00","","","","","","","","","",""
"","","Sunday","7.00","23.00","1.00","1.00","1.50","","","","","","","",""
"","","","23.00","6.59","2.00","","","","","","","","","",""
"Orchard Building","","Weekday","7.00","17.00","1.10","1.10","1.20","","","","","","","",""
"","","","17.00","1.00","3.60","0.00","","","","","","","","",""
"","","Saturday","7.00","17.00","1.10","1.10","1.20","","","","","","","",""
"","","","17.00","1.00","3.60","0.00","","","","","","","","",""
"","","Sunday","7.00","17.00","1.80","1.80","1.80","1.80","1.80","1.80","1.20","","","",""
"","","","17.00","1.00","3.60","0.00","","","","","","","","",""
"Orchard Central","27","Weekday","2.00","18.00","1.00","","","","","","","","","1.30072","103.83979"
"","","","16.00","1.59","2.25","2.25","2.25","2.25","2.25","2.25","1.50","","","",""
"","","Saturday","2.00","18.00","1.00","","","","","","","","","",""
"","","","16.00","1.59","2.25","2.25","2.25","2.25","2.25","2.25","1.50","","","",""
"","","Sunday","2.00","1.59","2.25","2.25","2.25","2.25","2.25","2.25","1.50","","","",""
"Orchard Plaza","","Weekday","7.00","17.00","1.39","","","","","","","","","",""
"","","","17.00","6.59","3.85","0.00","0.00","0.00","0.00","0.00","1.39","","","",""
"","","Saturday","7.00","17.00","1.39","","","","","","","","","",""
"","","","17.00","6.59","3.85","0.00","0.00","0.00","0.00","0.00","1.39","","","",""
"","","Sunday","7.00","17.00","1.39","","","","","","","","","",""
"","","","17.00","6.59","3.85","0.00","0.00","0.00","0.00","0.00","1.39","","","",""
"Orchard Towers","","Weekday","7.00","18.00","2.50","","","","","","","","","",""
"","","","18.00","6.59","9.00","0.00","","","","","","","","",""
"","","Saturday","7.00","18.00","2.50","","","","","","","","","",""
"","","","18.00","6.59","9.00","0.00","","","","","","","","",""
"","","Sunday","7.00","18.00","2.50","","","","","","","","","",""
"","","","18.00","6.59","9.00","0.00","","","","","","","","",""
"orchardgateway","","Weekday","0.00","18.00","1.00","1.00","1.00","1.50","","","","","","",""
"","","","18.00","23.59","0.96","0.96","0.96","0.96","0.96","1.80","","","","",""
"","","Saturday","0.00","23.59","0.96","0.96","0.96","0.96","0.96","1.80","","","","",""
"","","Sunday","0.00","23.59","0.96","0.96","0.96","0.96","0.96","1.80","","","","",""
"Pacific Plaza","","Weekday","8.00","18.00","1.50","","","","","","","","","",""
"","","","18.00","7.59","1.50","1.50","1.50","1.50","1.00","","","","","",""
"","","Saturday","8.00","18.00","1.50","","","","","","","","","",""
"","","","18.00","7.59","1.50","1.50","1.50","1.50","1.00","","","","","",""
"","","Sunday","8.00","18.00","1.50","","","","","","","","","",""
"","","","18.00","7.59","1.50","1.50","1.50","1.50","1.00","","","","","",""
"Palais Renaissance","","Weekday","7.00","17.00","1.40","1.40","1.60","","","","","","","",""
"","","","17.00","1.00","3.80","0.00","","","","","","","","",""
"","","","1.00","6.59","0.75","","","","","","","","","",""
"","","Saturday","7.00","17.00","1.40","1.40","1.60","","","","","","","",""
"","","","17.00","1.00","3.80","0.00","","","","","","","","",""
"","","","1.00","6.59","0.75","","","","","","","","","",""
"","","Sunday","7.00","1.00","1.90","","","","","","","","","",""
"","","","1.00","6.59","0.75","","","","","","","","","",""
"Paragon Shopping Centre","55","Weekday","3.00","18.00","1.29","1.29","1.48","","","","","","","1.3038","103.83585"
"","","","18.00","2.59","3.48","0.00","","","","","","","","",""
"","","Saturday","3.00","18.00","1.29","1.29","1.48","","","","","","","",""
"","","","18.00","2.59","3.48","0.00","","","","","","","","",""
"","","Sunday","3.00","18.00","1.74","","","","","","","","","",""
"","","","18.00","2.59","3.48","0.00","","","","","","","","",""
"Penang Road Off-Street","","Weekday","0.00","23.59","0.50","","","","","","","","","",""
"","","Saturday","7.00","17.00","1.00","","","","","","","","","",""
"","","","17.00","6.59","0.50","","","","","","","","","",""
"","","Sunday","0.00","23.59","0.50","","","","","","","","","",""
"Plaza Singapura","","Weekday","0.00","23.59","0.53","0.53","0.16","","","","","","","",""
"","","","18.00","23.59","2.14","0.00","","","","","","","","",""
"","","Saturday","3.00","17.59","0.53","0.53","0.64","","","","","","","",""
"","","","18.00","2.59","2.14","0.00","","","","","","","","",""
"","","Sunday","3.00","17.59","0.53","0.53","0.64","","","","","","","",""
"","","","18.00","2.59","2.14","0.00","","","","","","","","",""
